net,length_um
net125,199.9µm
net767,199.1µm
net744,199.08µm
net607,199.06µm
net758,198.26µm
net579,198.12µm
net761,197.92µm
net122,197.46µm
net714,197.34µm
net763,196.16µm
net676,196.08µm
net718,196.06µm
net717,195.82µm
net200,195.58µm
net732,195.36µm
net735,195.3µm
net440,194.28µm
net286,194.14µm
net488,194.12µm
net730,193.275µm
net315,192.725µm
net770,192.2µm
net508,191.76µm
net755,191µm
net733,190.48µm
net366,190.085µm
net536,189.74µm
net359,189.72µm
net356,188.62µm
net518,187.64µm
net678,187.6µm
net469,187.48µm
net354,187.34µm
net199,186.66µm
net694,186.62µm
net628,186.38µm
net202,185.14µm
net766,184.47µm
net723,184.19µm
net750,183.82µm
net691,183.74µm
net62,183.6µm
net760,183.08µm
net385,182.46µm
clknet_5_10__leaf_clk,181.7µm
net476,180.335µm
net265,180.22µm
net367,179.38µm
net650,179.31µm
_1976_,179.2µm
net480,178.36µm
net710,177.34µm
net345,176.64µm
net576,176.15µm
net739,175.74µm
net486,175.555µm
net475,175.16µm
net300,175.12µm
net81,174.82µm
net254,174.68µm
net506,174.42µm
net540,174.3µm
net333,174.02µm
net352,173.44µm
net293,172.96µm
net275,172.68µm
net349,172.16µm
clknet_5_8__leaf_clk,170.6µm
net721,170.405µm
net26,169.8µm
net489,169.43µm
net585,169.26µm
_1923_,169.18µm
net317,169µm
net235,168.52µm
net323,168.34µm
net267,167.98µm
net396,167.68µm
net332,167.54µm
net253,167.44µm
net272,167.22µm
net239,167.16µm
net238,167.08µm
net614,166.84µm
net680,166.13µm
net716,166µm
_2032_,165.86µm
net675,165.75µm
net59,165.12µm
net312,164.515µm
net695,164.28µm
net703,164.1µm
_2131_,163.94µm
_1882_,163.42µm
net244,163.04µm
net331,163.02µm
net693,162.9µm
net295,162.4µm
net294,161.9µm
_1651_,161.8µm
net203,161.64µm
_2144_,161.1µm
net520,161.02µm
net697,160.86µm
net507,160.82µm
net769,160.4µm
net445,160.36µm
net745,159.4µm
net474,159.28µm
clknet_5_15__leaf_clk,158.64µm
_2013_,158.62µm
_1436_,158.58µm
net393,158.56µm
net80,157.58µm
net690,157.44µm
net765,156.735µm
_0425_,155.7µm
net348,155.66µm
_2042_,155.52µm
_1998_,155.18µm
net731,155.09µm
net491,154.94µm
_1876_,154.28µm
net246,153.94µm
net88,153.54µm
net176,153.44µm
net527,153.22µm
_2094_,153.12µm
net442,153.05µm
_1705_,152.64µm
net509,152.525µm
net430,151.6µm
net768,151.42µm
_2102_,151.32µm
net60,151.04µm
_1864_,150.92µm
net656,150.84µm
net236,150.7µm
net391,150.5µm
net68,150.02µm
net685,149.02µm
net353,148.24µm
net386,148.14µm
net237,147.62µm
_1674_,147.54µm
net612,146.76µm
net22,146.5µm
net689,146.46µm
_2017_,146.36µm
_2164_,145.16µm
net713,145.06µm
net247,145.04µm
net48,144.64µm
net705,144.345µm
net413,144.22µm
net243,144.06µm
net212,143.48µm
net435,143.455µm
net261,142.84µm
net219,142.72µm
net679,142.71µm
net33,142.36µm
net443,142.11µm
_1768_,141.7µm
net452,141.01µm
net129,140.68µm
net453,140.4µm
net380,139.995µm
_2132_,139.12µm
net84,138.58µm
net401,137.78µm
net395,137.46µm
net771,137.1µm
net44,136.92µm
_1435_,136.72µm
_1918_,136.06µm
net441,136.02µm
_1783_,135.9µm
net209,135.86µm
net19,135µm
net350,134.4µm
_2015_,133.45µm
net21,133.22µm
net225,133.04µm
_1732_,132.94µm
net220,132.46µm
net550,131.92µm
_2008_,131.72µm
net289,131.605µm
net224,131.6µm
_2001_,131.3µm
_1437_,131.04µm
_1462_,130.3µm
net552,130.17µm
net17,129.66µm
net484,129.34µm
net517,128.32µm
_2049_,128.3µm
_1788_,127.46µm
net69,127.16µm
net41,127.08µm
net42,127.04µm
net698,126.72µm
net473,126.02µm
net729,125.99µm
_1789_,125.96µm
net398,125.78µm
clknet_4_5_0_clk,125.44µm
net211,125.14µm
net324,125.12µm
net368,125.105µm
net365,124.92µm
net24,124.52µm
_2066_,124.3µm
net581,124.005µm
net1100,123µm
_2063_,122.42µm
_1725_,121.6µm
net700,121.58µm
net79,120.96µm
net394,120.56µm
net434,119.975µm
net61,119.9µm
_1539_,119.57µm
net736,118.98µm
net255,118.66µm
_0639_,118.4µm
net351,118.345µm
net746,118.18µm
_1434_,117.7µm
net94,117.62µm
net103,117.56µm
net218,117.04µm
net259,116.6µm
net248,116.42µm
net428,116.04µm
net390,114.76µm
net20,114.68µm
net570,114.26µm
net27,114.22µm
net43,113.9µm
net57,113.88µm
clknet_leaf_187_clk,113.54µm
net388,112.58µm
net155,112.26µm
_1844_,112.22µm
net425,111.86µm
net35,111.72µm
net104,110.92µm
net421,109.67µm
net357,109.46µm
net383,109.415µm
net70,109.24µm
net412,108.82µm
net298,108.6µm
net49,107.86µm
net252,107.52µm
net187,107µm
net762,106.64µm
net217,105.7µm
net549,105.46µm
net96,105.32µm
net756,105.06µm
net400,104.92µm
net530,104.7µm
_1800_,104.1µm
net161,103.8µm
net677,103.62µm
net98,103.3µm
net387,102.76µm
clknet_4_4_0_clk,102.26µm
net546,101.77µm
net503,101.64µm
net55,101.44µm
net46,101.16µm
_1487_,100.845µm
net800,100.63µm
_1538_,100.165µm
net558,100.1µm
net532,99.86µm
net522,99.78µm
net50,99.68µm
net415,99.58µm
net479,99.5µm
net764,99µm
net14,98.24µm
net303,98.1µm
clknet_4_14_0_clk,97.88µm
net145,97.76µm
net52,96.22µm
net54,95.98µm
net287,95.8µm
net432,95.42µm
_0230_,95.1µm
_2105_,95.02µm
net687,94.42µm
net63,93.84µm
net748,93.24µm
_1790_,93.18µm
net683,92.98µm
_1470_,92.42µm
net436,92.04µm
net53,91.78µm
_2337_,91.58µm
net437,91.48µm
net433,91.42µm
net58,91.22µm
net106,91.16µm
net704,91.06µm
net715,90.46µm
net11,90.4µm
_0557_,90µm
net140,89.54µm
